Matrix Size,Run,Time Taken (s)
512,0,0.021113800
512,1,0.017284100
512,2,0.018707500
512,3,0.019534500
512,4,0.017259500
512,5,0.018715600
512,6,0.017042700
512,7,0.018770300
512,8,0.017728300
512,9,0.018005900
