Matrix Size,Run,Time Taken (s)
512,0,0.463659800
512,1,0.536368800
512,2,0.552203600
512,3,0.430066400
512,4,0.445347200
512,5,0.420535800
512,6,0.404246100
512,7,0.399646900
512,8,0.409669600
512,9,0.397580500
