Matrix Size,Run,Time Taken (s)
512,0,0.312166800
512,1,0.339988900
512,2,0.298580500
512,3,0.337368100
512,4,0.356613500
512,5,0.287276500
512,6,0.271976200
512,7,0.283806900
512,8,0.277044000
512,9,0.293989000
