Matrix Size,Run,Time Taken (s)
512,0,0.086104300
512,1,0.083356500
512,2,0.083986500
512,3,0.082078200
512,4,0.082763000
512,5,0.091452500
512,6,0.085846800
512,7,0.080399000
512,8,0.078742000
512,9,0.078072500
