Matrix Size,Run,Time Taken (s)
512,0,0.036990700
512,1,0.032985500
512,2,0.032377800
512,3,0.033527100
512,4,0.035217300
512,5,0.032741300
512,6,0.031611100
512,7,0.035933400
512,8,0.032006500
512,9,0.033010700
