Matrix Size,Run,Time Taken (s)
512,0,0.204540200
512,1,0.198178300
512,2,0.184923400
512,3,0.181027600
512,4,0.180159400
512,5,0.182842400
512,6,0.216235400
512,7,0.189018300
512,8,0.164828900
512,9,0.163266000
