Matrix Size,Run,Time Taken (s)
512,1,0.014058830
512,2,0.012355192
512,3,0.014645283
512,4,0.012606988
512,5,0.012314381
512,6,0.012252438
512,7,0.012267561
512,8,0.012128768
512,9,0.011965930
512,10,0.012017384
