Matrix Size,Run,Time Taken (s)
16,0,0.000001047
16,1,0.000000449
16,2,0.000000410
16,3,0.000000430
16,4,0.000000369
16,5,0.000000436
16,6,0.000000430
16,7,0.000000365
16,8,0.000000367
16,9,0.000000367
